"lag_seconds","rows_"
"131927.370","29"
"320521.930","27"
"86387.260","27"
"75500.280","27"
"222671.660","27"
"126253.370","27"
"141127.370","25"
"129389.370","25"
"237268.660","24"
"240422.660","24"
"258663.930","24"
"151110.260","23"
"149308.260","23"
"74284.260","23"
"155440.920","23"
"132955.920","22"
"81188.280","22"
"73937.370","22"
"253621.930","22"
"73165.370","22"
"80893.370","22"
"237840.660","22"
"89578.280","22"
"152883.370","21"
"128821.260","20"
"79640.260","20"
"304121.930","20"
"157494.660","20"
"178988.660","19"
"315672.930","19"
"231145.660","19"
"199494.660","18"
"141010.260","18"
"73160.260","18"
"250170.930","18"
"80459.260","18"
"236055.660","18"
"269104.930","18"
"68797.280","17"
"139309.920","17"
"87252.370","17"
"96830.920","17"
"74718.920","17"
"153260.920","17"
"233025.660","17"
"246214.930","17"
"71831.370","17"
"143168.920","17"
"100454.260","17"
"87870.260","17"
"121650.370","17"
"161973.660","17"
"137973.260","16"
"142411.920","16"
"75336.370","16"
"69425.370","16"
"159101.660","16"
"146483.260","16"
"87748.370","16"
"139229.920","16"
"293001.930","16"
"94957.920","16"
"76375.280","16"
"152750.260","16"
"224937.660","16"
"84460.370","16"
"140102.370","16"
"152283.370","15"
"163079.660","15"
"77667.280","15"
"152941.920","15"
"251507.930","15"
"217405.660","15"
"259724.930","15"
"128486.920","15"
"70905.920","15"
"137921.370","15"
"88149.260","15"
"73956.370","15"
"151684.370","15"
"261948.930","15"
"79217.920","15"
"141735.920","14"
"154381.260","14"
"86095.920","14"
"122436.370","14"
"316549.930","14"
"146799.370","14"
"154155.920","14"
"118284.370","14"
"72714.370","14"
"310234.930","14"
"134150.920","14"
"169272.660","14"
"147633.260","14"
"81682.280","14"
"69860.920","14"
"174968.660","14"
"78654.370","14"
"139976.370","14"
"86192.920","14"
"127029.920","14"
"137182.920","14"
"71697.370","14"
"228532.660","14"
"168833.660","14"
"149808.370","14"
"77912.260","14"
"180792.660","14"
"138677.260","14"
"81540.370","14"
"146354.920","13"
"311863.930","13"
"134185.920","13"
"84745.280","13"
"303648.930","13"
"154658.370","13"
"130193.920","13"
"127279.260","13"
"83610.920","13"
"137254.260","13"
"77126.260","13"
"153190.260","13"
"140635.920","13"
"134330.920","13"
"78822.370","13"
"222233.660","13"
"94894.920","13"
"86911.920","13"
"227871.660","13"
"71074.920","13"
"133735.370","13"
"81912.370","13"
"233466.660","13"
"233616.660","13"
"253694.930","13"
"78958.370","13"
"153665.920","13"
"144534.370","13"
"70291.370","13"
"152775.370","13"
"150298.920","13"
"172945.660","13"
"127373.920","12"
"155836.660","12"
"148516.920","12"
"76975.280","12"
"-447775.220","12"
"249982.930","12"
"83242.370","12"
"86261.370","12"
"170325.660","12"
"81654.920","12"
"220699.660","12"
"87904.260","12"
"79360.260","12"
"76118.280","12"
"80910.370","12"
"86260.920","12"
"304178.930","12"
"166741.660","12"
"79440.280","12"
"311404.930","12"
"252164.930","12"
"84999.370","12"
"93665.280","12"
"309079.930","12"
"233863.660","12"
"154625.260","12"
"176069.660","12"
"85140.260","12"
"307304.930","12"
"133327.260","12"
"265874.930","12"
"69991.920","12"
"90901.280","12"
"171289.660","12"
"154035.920","12"
"89718.920","12"
"251721.930","12"
"74900.920","12"
"81693.280","12"
"145067.920","11"
"306112.930","11"
"137224.260","11"
"161242.660","11"
"94804.260","11"
"119162.260","11"
"77066.260","11"
"162859.660","11"
"298208.930","11"
"260986.930","11"
"124903.920","11"
"254089.930","11"
"154279.920","11"
"140158.260","11"
"90528.920","11"
"170833.660","11"
"217118.660","11"
"234091.660","11"
"154796.370","11"
"147922.260","11"
"249802.930","11"
"300618.930","11"
"233610.660","11"
"166915.660","11"
"78118.280","11"
"231018.660","11"
"146631.260","11"
"86476.280","11"
"148123.920","11"
"71006.280","11"
"129862.920","11"
"148884.920","11"
"323843.930","11"
"89691.260","11"
"171824.660","11"
"326090.930","11"
"291323.930","11"
"148655.370","11"
"143580.920","11"
"-101023.390","11"
"132173.920","11"
"252362.930","11"
"169321.660","11"
"130183.260","11"
"155037.370","11"
"165485.660","11"
"90076.920","11"
