"EVENT_CODE","events_","credited_rows"
"0002    ","1421347","1274557"
"8092    ","1275042","1143625"
"8093    ","1273777","1142266"
"0001    ","1273754","31620"
"0097    ","1244064","1244064"
"0099    ","88508","2966"
"0296    ","86795","81646"
"0293    ","86457","81442"
"0295    ","85556","80413"
"1507    ","79870","0"
"1506    ","39573","492"
"1533    ","15029","0"
"0119    ","12353","6036"
"0149    ","10704","8063"
"1516    ","9373","0"
"1524    ","8144","6934"
"0100    ","4720","3045"
"1543    ","4250","2887"
"1493    ","4174","4174"
"0098    ","2375","1477"
"0219    ","2246","1851"
"1510    ","2082","0"
"1504    ","1816","1781"
"1554    ","1655","1421"
"0294    ","840","656"
"1572    ","691","498"
"1502    ","669","645"
"1456    ","624","0"
"0124    ","494","334"
"0171    ","375","189"
"0172    ","375","189"
"8091    ","237","83"
"1457    ","152","0"
"0123    ","139","94"
"1458    ","107","0"
"1455    ","68","0"
"1599    ","66","47"
"1548    ","50","20"
"1501    ","31","0"
"1496    ","21","21"
"1500    ","16","0"
"0224    ","15","11"
"1508    ","10","0"
"1534    ","9","4"
"1561    ","8","0"
"0089    ","7","6"
"0243    ","7","0"
"1580    ","7","0"
"0118    ","5","3"
"0151    ","4","1"
"1536    ","3","0"
"0246    ","3","1"
"1571    ","3","0"
"1492    ","3","3"
"1514    ","2","0"
"0082    ","2","2"
"1570    ","2","0"
"0150    ","2","2"
"1495    ","1","1"
"1511    ","1","0"
"1521    ","1","0"
"1525    ","1","1"
"1544    ","1","0"
,"1","1"
